country,continent,year,lifeExp,pop,gdpPercap
Bolivia,Americas,1992,59.957,6893451,2961.699694
Bolivia,Americas,1997,62.05,7693188,3326.143191
Bolivia,Americas,2002,63.883,8445134,3413.26269
Bolivia,Americas,2007,65.554,9119152,3822.137084
Bosnia and Herzegovina,Europe,1992,72.178,4256013,2546.781445
Bosnia and Herzegovina,Europe,1997,73.244,3607000,4766.355904
Bosnia and Herzegovina,Europe,2002,74.09,4165416,6018.975239
Bosnia and Herzegovina,Europe,2007,74.852,4552198,7446.298803
Botswana,Africa,1992,62.745,1342614,7954.111645
Botswana,Africa,1997,52.556,1536536,8647.142313
Botswana,Africa,2002,46.634,1630347,11003.60508
Botswana,Africa,2007,50.728,1639131,12569.85177
Brazil,Americas,1992,67.057,155975974,6950.283021
Brazil,Americas,1997,69.388,168546719,7957.980824
Brazil,Americas,2002,71.006,179914212,8131.212843
Brazil,Americas,2007,72.39,190010647,9065.800825
Bulgaria,Europe,1992,71.19,8658506,6302.623438
Bulgaria,Europe,1997,70.32,8066057,5970.38876
Bulgaria,Europe,2002,72.14,7661799,7696.777725
Bulgaria,Europe,2007,73.005,7322858,10680.79282
Burkina Faso,Africa,1992,50.26,8878303,931.7527731
Burkina Faso,Africa,1997,50.324,10352843,946.2949618
Burkina Faso,Africa,2002,50.65,12251209,1037.645221
Burkina Faso,Africa,2007,52.295,14326203,1217.032994
Burundi,Africa,1992,44.736,5809236,631.6998778
Burundi,Africa,1997,45.326,6121610,463.1151478
Burundi,Africa,2002,47.36,7021078,446.4035126
Burundi,Africa,2007,49.58,8390505,430.0706916
Cambodia,Asia,1992,55.803,10150094,682.3031755
Cambodia,Asia,1997,56.534,11782962,734.28517
Cambodia,Asia,2002,56.752,12926707,896.2260153
Cambodia,Asia,2007,59.723,14131858,1713.778686
Cameroon,Africa,1992,54.314,12467171,1793.163278
Cameroon,Africa,1997,52.199,14195809,1694.337469
Cameroon,Africa,2002,49.856,15929988,1934.011449
Cameroon,Africa,2007,50.43,17696293,2042.09524
Canada,Americas,1992,77.95,28523502,26342.88426
Canada,Americas,1997,78.61,30305843,28954.92589
Canada,Americas,2002,79.77,31902268,33328.96507
Canada,Americas,2007,80.653,33390141,36319.23501
Central African Republic,Africa,1992,49.396,3265124,747.9055252
Central African Republic,Africa,1997,46.066,3696513,740.5063317
Central African Republic,Africa,2002,43.308,4048013,738.6906068
Central African Republic,Africa,2007,44.741,4369038,706.016537
Chad,Africa,1992,51.724,6429417,1058.0643
Chad,Africa,1997,51.573,7562011,1004.961353
Chad,Africa,2002,50.525,8835739,1156.18186
Chad,Africa,2007,50.651,10238807,1704.063724
Chile,Americas,1992,74.126,13572994,7596.125964
Chile,Americas,1997,75.816,14599929,10118.05318
Chile,Americas,2002,77.86,15497046,10778.78385
Chile,Americas,2007,78.553,16284741,13171.63885
China,Asia,1992,68.69,1164970000,1655.784158
China,Asia,1997,70.426,1230075000,2289.234136
China,Asia,2002,72.028,1280400000,3119.280896
China,Asia,2007,72.961,1318683096,4959.114854
Colombia,Americas,1992,68.421,34202721,5444.648617
Colombia,Americas,1997,70.313,37657830,6117.361746
Colombia,Americas,2002,71.682,41008227,5755.259962
Colombia,Americas,2007,72.889,44227550,7006.580419
Comoros,Africa,1992,57.939,454429,1246.90737
Comoros,Africa,1997,60.66,527982,1173.618235
Comoros,Africa,2002,62.974,614382,1075.811558
Comoros,Africa,2007,65.152,710960,986.1478792
Congo, Dem. Rep.,Africa,1992,45.548,41672143,457.7191807
Congo, Dem. Rep.,Africa,1997,42.587,47798986,312.188423
Congo, Dem. Rep.,Africa,2002,44.966,55379852,241.1658765
Congo, Dem. Rep.,Africa,2007,46.462,64606759,277.5518587
Congo, Rep.,Africa,1992,56.433,2409073,4016.239529
Congo, Rep.,Africa,1997,52.962,2800947,3484.164376
Congo, Rep.,Africa,2002,52.97,3328795,3484.06197
Congo, Rep.,Africa,2007,55.322,3800610,3632.557798
Costa Rica,Americas,1992,75.713,3173216,6160.416317
Costa Rica,Americas,1997,77.26,3518107,6677.045314
Costa Rica,Americas,2002,78.123,3834934,7723.447195
Costa Rica,Americas,2007,78.782,4133884,9645.06142
Cote d'Ivoire,Africa,1992,52.044,12772596,1648.073791
Cote d'Ivoire,Africa,1997,47.991,14625967,1786.265407
Cote d'Ivoire,Africa,2002,46.832,16252726,1648.800823
Cote d'Ivoire,Africa,2007,48.328,18013409,1544.750112
Croatia,Europe,1992,72.527,4494013,8447.794873
Croatia,Europe,1997,73.68,4444595,9875.604515
Croatia,Europe,2002,74.876,4481020,11628.38895
Croatia,Europe,2007,75.748,4493312,14619.22272
Cuba,Americas,1992,74.414,10723260,5592.843963
Cuba,Americas,1997,76.151,10983007,5431.990415
Cuba,Americas,2002,77.158,11226999,6340.646683
Cuba,Americas,2007,78.273,11416987,8948.102923
Czech Republic,Europe,1992,72.4,10315702,14297.02122
Czech Republic,Europe,1997,74.01,10300707,16048.51424
Czech Republic,Europe,2002,75.51,10256295,17596.21022
Czech Republic,Europe,2007,76.486,10228744,22833.30851
Denmark,Europe,1992,75.33,5171393,26406.73985
Denmark,Europe,1997,76.11,5283663,29804.34567
Denmark,Europe,2002,77.18,5374693,32166.50006
Denmark,Europe,2007,78.332,5468120,35278.41874
Djibouti,Africa,1992,51.604,384156,2377.156192
Djibouti,Africa,1997,53.157,417908,1895.016984
Djibouti,Africa,2002,53.373,447416,1908.260867
Djibouti,Africa,2007,54.791,496374,2082.481567
Dominican Republic,Americas,1992,68.457,7351181,3044.214214
Dominican Republic,Americas,1997,69.957,7992357,3614.101285
Dominican Republic,Americas,2002,70.847,8650322,4563.808154
Dominican Republic,Americas,2007,72.235,9319622,6025.374752
Ecuador,Americas,1992,69.613,10748394,7103.702595
Ecuador,Americas,1997,72.312,11911819,7429.455877
Ecuador,Americas,2002,74.173,12921234,5773.044512
Ecuador,Americas,2007,74.994,13755680,6873.262326
Egypt,Africa,1992,63.674,59402198,3794.755195
Egypt,Africa,1997,67.217,66134291,4173.181797
Egypt,Africa,2002,69.806,73312559,4754.604414
Egypt,Africa,2007,71.338,80264543,5581.180998
El Salvador,Americas,1992,66.798,5274649,4444.2317
El Salvador,Americas,1997,69.535,5783439,5154.825496
El Salvador,Americas,2002,70.734,6353681,5351.568666
El Salvador,Americas,2007,71.878,6939688,5728.353514
Equatorial Guinea,Africa,1992,47.545,387838,1132.055034
Equatorial Guinea,Africa,1997,48.245,439971,2814.480755
Equatorial Guinea,Africa,2002,49.348,495627,7703.4959
Equatorial Guinea,Africa,2007,51.579,551201,12154.08975
Eritrea,Africa,1992,49.991,3668440,582.8585102
Eritrea,Africa,1997,53.378,4058319,913.47079
Eritrea,Africa,2002,55.24,4414865,765.3500015
Eritrea,Africa,2007,58.04,4906585,641.3695236
Ethiopia,Africa,1992,48.091,52088559,421.3534653
Ethiopia,Africa,1997,49.402,59861301,515.8894013
Ethiopia,Africa,2002,50.725,67946797,530.0535319
Ethiopia,Africa,2007,52.947,76511887,690.8055759
Finland,Europe,1992,75.7,5041039,20647.16499
Finland,Europe,1997,77.13,5134406,23723.9502
Finland,Europe,2002,78.37,5193039,28204.59057
Finland,Europe,2007,79.313,5238460,33207.0844
France,Europe,1992,77.46,57374179,24703.79615
France,Europe,1997,78.64,58623428,25889.78487
France,Europe,2002,79.59,59925035,28926.03234
France,Europe,2007,80.657,61083916,30470.0167
Gabon,Africa,1992,61.366,985739,13522.15752
Gabon,Africa,1997,60.461,1126189,14722.84188
Gabon,Africa,2002,56.761,1299304,12521.71392
Gabon,Africa,2007,56.735,1454867,13206.48452
Gambia,Africa,1992,52.644,1025384,665.6244126
Gambia,Africa,1997,55.861,1235767,653.7301704
Gambia,Africa,2002,58.041,1457766,660.5855997
Gambia,Africa,2007,59.448,1688359,752.7497265
Germany,Europe,1992,76.07,80597764,26505.30317
Germany,Europe,1997,77.34,82011073,27788.88416
Germany,Europe,2002,78.67,82350671,30035.80198
Germany,Europe,2007,79.406,82400996,32170.37442
Ghana,Africa,1992,57.501,16278738,925.060154
Ghana,Africa,1997,58.556,18418288,1005.245812
Ghana,Africa,2002,58.453,20550751,1111.984578
Ghana,Africa,2007,60.022,22873338,1327.60891
Greece,Europe,1992,77.03,10325429,17541.49634
Greece,Europe,1997,77.869,10502372,18747.69814
Greece,Europe,2002,78.256,10603863,22514.2548
Greece,Europe,2007,79.483,10706290,27538.41188
Guatemala,Americas,1992,63.373,8486949,4439.45084
Guatemala,Americas,1997,66.322,9803875,4684.313807
Guatemala,Americas,2002,68.978,11178650,4858.347495
Guatemala,Americas,2007,70.259,12572928,5186.050003
Guinea,Africa,1992,48.576,6990574,794.3484384
Guinea,Africa,1997,51.455,8048834,869.4497668
Guinea,Africa,2002,53.676,8807818,945.5835837
Guinea,Africa,2007,56.007,9947814,942.6542111
Guinea-Bissau,Africa,1992,43.266,1050938,745.5398706
Guinea-Bissau,Africa,1997,44.873,1193708,796.6644681
Guinea-Bissau,Africa,2002,45.504,1332459,575.7047176
Guinea-Bissau,Africa,2007,46.388,1472041,579.231743
Haiti,Americas,1992,55.089,6326682,1456.309517
Haiti,Americas,1997,56.671,6913545,1341.726931
Haiti,Americas,2002,58.137,7607651,1270.364932
Haiti,Americas,2007,60.916,8502814,1201.637154
Honduras,Americas,1992,66.399,5077347,3081.694603
Honduras,Americas,1997,67.659,5867957,3160.454906
Honduras,Americas,2002,68.565,6677328,3099.72866
Honduras,Americas,2007,70.198,7483763,3548.330846
Hong Kong, China,Asia,1992,77.601,5829696,24757.60301
Hong Kong, China,Asia,1997,80,6495918,28377.63219
Hong Kong, China,Asia,2002,81.495,6762476,30209.01516
Hong Kong, China,Asia,2007,82.208,6980412,39724.97867
Hungary,Europe,1992,69.17,10348684,10535.62855
Hungary,Europe,1997,71.04,10244684,11712.7768
Hungary,Europe,2002,72.59,10083313,14843.93556
Hungary,Europe,2007,73.338,9956108,18008.94444
Iceland,Europe,1992,78.77,259012,25144.39201
Iceland,Europe,1997,78.95,271192,28061.09966
Iceland,Europe,2002,80.5,288030,31163.20196
Iceland,Europe,2007,81.757,301931,36180.78919
India,Asia,1992,60.223,872000000,1164.406809
India,Asia,1997,61.765,959000000,1458.817442
India,Asia,2002,62.879,1034172547,1746.769454
India,Asia,2007,64.698,1110396331,2452.210407
Indonesia,Asia,1992,62.681,184816000,2383.140898
Indonesia,Asia,1997,66.041,199278000,3119.335603
Indonesia,Asia,2002,68.588,211060000,2873.91287
Indonesia,Asia,2007,70.65,223547000,3540.651564
Iran,Asia,1992,65.742,60397973,7235.653188
Iran,Asia,1997,68.042,63327987,8263.590301
Iran,Asia,2002,69.451,66907826,9240.761975
Iran,Asia,2007,70.964,69453570,11605.71449
Iraq,Asia,1992,59.461,17861905,3745.640687
Iraq,Asia,1997,58.811,20775703,3076.239795
Iraq,Asia,2002,57.046,24001816,4390.717312
Iraq,Asia,2007,59.545,27499638,4471.061906
Ireland,Europe,1992,75.467,3557761,17558.81555
Ireland,Europe,1997,76.122,3667233,24521.94713
Ireland,Europe,2002,77.783,3879155,34077.04939
Ireland,Europe,2007,78.885,4109086,40675.99635
Israel,Asia,1992,76.93,4936550,18051.52254
Israel,Asia,1997,78.269,5531387,20896.60924
Israel,Asia,2002,79.696,6029529,21905.59514
Israel,Asia,2007,80.745,6426679,25523.2771
Italy,Europe,1992,77.44,56840847,22013.64486
Italy,Europe,1997,78.82,57479469,24675.02446
Italy,Europe,2002,80.24,57926999,27968.09817
Italy,Europe,2007,80.546,58147733,28569.7197
Jamaica,Americas,1992,71.766,2378618,7404.923685
Jamaica,Americas,1997,72.262,2531311,7121.924704
Jamaica,Americas,2002,72.047,2664659,6994.774861
Jamaica,Americas,2007,72.567,2780132,7320.880262
Japan,Asia,1992,79.36,124329269,26824.89511
Japan,Asia,1997,80.69,125956499,28816.58499
Japan,Asia,2002,82,127065841,28604.5919
Japan,Asia,2007,82.603,127467972,31656.06806
Jordan,Asia,1992,68.015,3867409,3431.593647
Jordan,Asia,1997,69.772,4526235,3645.379572
Jordan,Asia,2002,71.263,5307470,3844.917194
Jordan,Asia,2007,72.535,6053193,4519.461171
Kenya,Africa,1992,59.285,25020539,1341.921721
Kenya,Africa,1997,54.407,28263827,1360.485021
Kenya,Africa,2002,50.992,31386842,1287.514732
Kenya,Africa,2007,54.11,35610177,1463.249282
Korea, Dem. Rep.,Asia,1992,69.978,20711375,3726.063507
Korea, Dem. Rep.,Asia,1997,67.727,21585105,1690.756814
Korea, Dem. Rep.,Asia,2002,66.662,22215365,1646.758151
Korea, Dem. Rep.,Asia,2007,67.297,23301725,1593.06548
Korea, Rep.,Asia,1992,72.244,43805450,12104.27872
Korea, Rep.,Asia,1997,74.647,46173816,15993.52796
Korea, Rep.,Asia,2002,77.045,47969150,19233.98818
Korea, Rep.,Asia,2007,78.623,49044790,23348.13973
Kuwait,Asia,1992,75.19,1418095,34932.91959
Kuwait,Asia,1997,76.156,1765345,40300.61996
Kuwait,Asia,2002,76.904,2111561,35110.10566
Kuwait,Asia,2007,77.588,2505559,47306.98978
Lebanon,Asia,1992,69.292,3219994,6890.806854
Lebanon,Asia,1997,70.265,3430388,8754.96385
Lebanon,Asia,2002,71.028,3677780,9313.93883
Lebanon,Asia,2007,71.993,3921278,10461.05868
Lesotho,Africa,1992,59.685,1803195,977.4862725
Lesotho,Africa,1997,55.558,1982823,1186.147994
Lesotho,Africa,2002,44.593,2046772,1275.184575
Lesotho,Africa,2007,42.592,2012649,1569.331442
Liberia,Africa,1992,40.802,1912974,636.6229191
Liberia,Africa,1997,42.221,2200725,609.1739508
Liberia,Africa,2002,43.753,2814651,531.4823679
Liberia,Africa,2007,45.678,3193942,414.5073415
Libya,Africa,1992,68.755,4364501,9640.138501
Libya,Africa,1997,71.555,4759670,9467.446056
Libya,Africa,2002,72.737,5368585,9534.677467
Libya,Africa,2007,73.952,6036914,12057.49928
Madagascar,Africa,1992,52.214,12210395,1040.67619
Madagascar,Africa,1997,54.978,14165114,986.2958956
Madagascar,Africa,2002,57.286,16473477,894.6370822
Madagascar,Africa,2007,59.443,19167654,1044.770126
Malawi,Africa,1992,49.42,10014249,563.2000145
Malawi,Africa,1997,47.495,10419991,692.2758103
Malawi,Africa,2002,45.009,11824495,665.4231186
Malawi,Africa,2007,48.303,13327079,759.3499101
Malaysia,Asia,1992,70.693,18319502,7277.912802
Malaysia,Asia,1997,71.938,20476091,10132.90964
Malaysia,Asia,2002,73.044,22662365,10206.97794
Malaysia,Asia,2007,74.241,24821286,12451.6558
Mali,Africa,1992,48.388,8416215,739.014375
Mali,Africa,1997,49.903,9384984,790.2579846
Mali,Africa,2002,51.818,10580176,951.4097518
Mali,Africa,2007,54.467,12031795,1042.581557
Mauritania,Africa,1992,58.333,2119465,1361.369784
Mauritania,Africa,1997,60.43,2444741,1483.136136
Mauritania,Africa,2002,62.247,2828858,1579.019543
Mauritania,Africa,2007,64.164,3270065,1803.151496
Mauritius,Africa,1992,69.745,1096202,6058.253846
Mauritius,Africa,1997,70.736,1149818,7425.705295
Mauritius,Africa,2002,71.954,1200206,9021.815894
Mauritius,Africa,2007,72.801,1250882,10956.99112
Mexico,Americas,1992,71.455,88111030,9472.384295
Mexico,Americas,1997,73.67,95895146,9767.29753
Mexico,Americas,2002,74.902,102479927,10742.44053
Mexico,Americas,2007,76.195,108700891,11977.57496
Mongolia,Asia,1992,61.271,2312802,1785.402016
Mongolia,Asia,1997,63.625,2494803,1902.2521
Mongolia,Asia,2002,65.033,2674234,2140.739323
Mongolia,Asia,2007,66.803,2874127,3095.772271
Montenegro,Europe,1992,75.435,621621,7003.339037
Montenegro,Europe,1997,75.445,692651,6465.613349
Montenegro,Europe,2002,73.981,720230,6557.194282
Montenegro,Europe,2007,74.543,684736,9253.896111
Morocco,Africa,1992,65.393,25798239,2948.047252
Morocco,Africa,1997,67.66,28529501,2982.101858
Morocco,Africa,2002,69.615,31167783,3258.495584
Morocco,Africa,2007,71.164,33757175,3820.17523
Mozambique,Africa,1992,44.284,13160731,410.8968239
Mozambique,Africa,1997,46.344,16603334,472.3460771
Mozambique,Africa,2002,44.026,18473780,633.6179466
Mozambique,Africa,2007,42.082,19951656,823.6856205
Myanmar,Asia,1992,59.32,40546538,347
Myanmar,Asia,1997,60.328,43247867,415
Myanmar,Asia,2002,59.908,45598081,611
Myanmar,Asia,2007,62.069,47761980,944
Namibia,Africa,1992,61.999,1554253,3804.537999
Namibia,Africa,1997,58.909,1774766,3899.52426
Namibia,Africa,2002,51.479,1972153,4072.324751
Namibia,Africa,2007,52.906,2055080,4811.060429
Nepal,Asia,1992,55.727,20326209,897.7403604
Nepal,Asia,1997,59.426,23001113,1010.892138
Nepal,Asia,2002,61.34,25873917,1057.206311
Nepal,Asia,2007,63.785,28901790,1091.359778
Netherlands,Europe,1992,77.42,15174244,26790.94961
Netherlands,Europe,1997,78.03,15604464,30246.13063
Netherlands,Europe,2002,78.53,16122830,33724.75778
Netherlands,Europe,2007,79.762,16570613,36797.93332
New Zealand,Oceania,1992,76.33,3437674,18363.32494
New Zealand,Oceania,1997,77.55,3676187,21050.41377
New Zealand,Oceania,2002,79.11,3908037,23189.80135
New Zealand,Oceania,2007,80.204,4115771,25185.00911
Nicaragua,Americas,1992,65.843,4017939,2170.151724
Nicaragua,Americas,1997,68.426,4609572,2253.023004
Nicaragua,Americas,2002,70.836,5146848,2474.548819
Nicaragua,Americas,2007,72.899,5675356,2749.320965
Niger,Africa,1992,47.391,8392818,581.182725
Niger,Africa,1997,51.313,9666252,580.3052092
Niger,Africa,2002,54.496,11140655,601.0745012
Niger,Africa,2007,56.867,12894865,619.6768924
Nigeria,Africa,1992,47.472,93364244,1619.848217
Nigeria,Africa,1997,47.464,106207839,1624.941275
Nigeria,Africa,2002,46.608,119901274,1615.286395
Nigeria,Africa,2007,46.859,135031164,2013.977305
Norway,Europe,1992,77.32,4286357,33965.66115
Norway,Europe,1997,78.32,4405672,41283.16433
Norway,Europe,2002,79.05,4535591,44683.97525
Norway,Europe,2007,80.196,4627926,49357.19017
Oman,Asia,1992,71.197,1915208,18616.70691
Oman,Asia,1997,72.499,2283635,19702.05581
Oman,Asia,2002,74.193,2713462,19774.83687
Oman,Asia,2007,75.64,3204897,22316.19287
Pakistan,Asia,1992,60.838,120065004,1971.829464
Pakistan,Asia,1997,61.818,135564834,2049.350521
Pakistan,Asia,2002,63.61,153403524,2092.712441
Pakistan,Asia,2007,65.483,169270617,2605.94758
Panama,Americas,1992,72.462,2484997,6618.74305
Panama,Americas,1997,73.738,2734531,7113.692252
Panama,Americas,2002,74.712,2990875,7356.031934
Panama,Americas,2007,75.537,3242173,9809.185636
Paraguay,Americas,1992,68.225,4483945,4196.411078
Paraguay,Americas,1997,69.4,5154123,4247.400261
Paraguay,Americas,2002,70.755,5884491,3783.674243
Paraguay,Americas,2007,71.752,6667147,4172.838464
Peru,Americas,1992,66.458,22430449,4446.380924
Peru,Americas,1997,68.386,24748122,5838.347657
Peru,Americas,2002,69.906,26769436,5909.020073
Peru,Americas,2007,71.421,28674757,7408.905561
Philippines,Asia,1992,66.458,67185766,2279.324017
Philippines,Asia,1997,68.564,75012988,2536.534925
Philippines,Asia,2002,70.303,82995088,2650.921068
Philippines,Asia,2007,71.688,91077287,3190.481016
Poland,Europe,1992,70.99,38370697,7738.881247
Poland,Europe,1997,72.75,38654957,10159.58368
Poland,Europe,2002,74.67,38625976,12002.23908
Poland,Europe,2007,75.563,38518241,15389.92468
Portugal,Europe,1992,74.86,9927680,16207.26663
Portugal,Europe,1997,75.97,10156415,17641.03156
Portugal,Europe,2002,77.29,10433867,19970.90787
Portugal,Europe,2007,78.098,10642836,20509.64777
Puerto Rico,Americas,1992,73.911,3585176,14641.58711
Puerto Rico,Americas,1997,74.917,3759430,16999.4333
Puerto Rico,Americas,2002,77.778,3859606,18855.60618
Puerto Rico,Americas,2007,78.746,3942491,19328.70901
Reunion,Africa,1992,73.615,622191,6101.255823
Reunion,Africa,1997,74.772,684810,6071.941411
Reunion,Africa,2002,75.744,743981,6316.1652
Reunion,Africa,2007,76.442,798094,7670.122558
Romania,Europe,1992,69.36,22797027,6598.409903
Romania,Europe,1997,69.72,22562458,7346.547557
Romania,Europe,2002,71.322,22404337,7885.360081
Romania,Europe,2007,72.476,22276056,10808.47561
Rwanda,Africa,1992,23.599,7290203,737.0685949
Rwanda,Africa,1997,36.087,7212583,589.9445051
Rwanda,Africa,2002,43.413,7852401,785.6537648
Rwanda,Africa,2007,46.242,8860588,863.0884639
Sao Tome and Principe,Africa,1992,62.742,125911,1428.777814
Sao Tome and Principe,Africa,1997,63.306,145608,1339.076036
Sao Tome and Principe,Africa,2002,64.337,170372,1353.09239
Sao Tome and Principe,Africa,2007,65.528,199579,1598.435089
Saudi Arabia,Asia,1992,68.768,16945857,24841.61777
Saudi Arabia,Asia,1997,70.533,21229759,20586.69019
Saudi Arabia,Asia,2002,71.626,24501530,19014.54118
Saudi Arabia,Asia,2007,72.777,27601038,21654.83194
Senegal,Africa,1992,58.196,8307920,1367.899369
Senegal,Africa,1997,60.187,9535314,1392.368347
Senegal,Africa,2002,61.6,10870037,1519.635262
Senegal,Africa,2007,63.062,12267493,1712.472136
Serbia,Europe,1992,71.659,9826397,9325.068238
Serbia,Europe,1997,72.232,10336594,7914.320304
Serbia,Europe,2002,73.213,10111559,7236.075251
Serbia,Europe,2007,74.002,10150265,9786.534714
Sierra Leone,Africa,1992,38.333,4260884,1068.696278
Sierra Leone,Africa,1997,39.897,4578212,574.6481576
Sierra Leone,Africa,2002,41.012,5359092,699.489713
Sierra Leone,Africa,2007,42.568,6144562,862.5407561
Singapore,Asia,1992,75.788,3235865,24769.8912
Singapore,Asia,1997,77.158,3802309,33519.4766
Singapore,Asia,2002,78.77,4197776,36023.1054
Singapore,Asia,2007,79.972,4553009,47143.17964
Slovak Republic,Europe,1992,71.38,5302888,9498.467723
Slovak Republic,Europe,1997,72.71,5383010,12126.23065
Slovak Republic,Europe,2002,73.8,5410052,13638.77837
Slovak Republic,Europe,2007,74.663,5447502,18678.31435
Slovenia,Europe,1992,73.64,1999210,14214.71681
Slovenia,Europe,1997,75.13,2011612,17161.10735
Slovenia,Europe,2002,76.66,2011497,20660.01936
Slovenia,Europe,2007,77.926,2009245,25768.25759
Somalia,Africa,1992,39.658,6099799,926.9602964
Somalia,Africa,1997,43.795,6633514,930.5964284
Somalia,Africa,2002,45.936,7753310,882.0818218
Somalia,Africa,2007,48.159,9118773,926.1410683
South Africa,Africa,1992,61.888,39964159,7225.069258
South Africa,Africa,1997,60.236,42835005,7479.188244
South Africa,Africa,2002,53.365,44433622,7710.946444
South Africa,Africa,2007,49.339,43997828,9269.657808
Spain,Europe,1992,77.57,39549438,18603.06452
Spain,Europe,1997,78.77,39855442,20445.29896
Spain,Europe,2002,79.78,40152517,24835.47166
Spain,Europe,2007,80.941,40448191,28821.0637
Sri Lanka,Asia,1992,70.379,17587060,2153.739222
Sri Lanka,Asia,1997,70.457,18698655,2664.477257
Sri Lanka,Asia,2002,70.815,19576783,3015.378833
Sri Lanka,Asia,2007,72.396,20378239,3970.095407
Sudan,Africa,1992,53.556,28227588,1492.197043
Sudan,Africa,1997,55.373,32160729,1632.210764
Sudan,Africa,2002,56.369,37090298,1993.398314
Sudan,Africa,2007,58.556,42292929,2602.394995
Swaziland,Africa,1992,58.474,962344,3553.0224
Swaziland,Africa,1997,54.289,1054486,3876.76846
Swaziland,Africa,2002,43.869,1130269,4128.116943
Swaziland,Africa,2007,39.613,1133066,4513.480643
Sweden,Europe,1992,78.16,8718867,23880.01683
Sweden,Europe,1997,79.39,8897619,25266.59499
Sweden,Europe,2002,80.04,8954175,29341.63093
Sweden,Europe,2007,80.884,9031088,33859.74835
Switzerland,Europe,1992,78.03,6995447,31871.5303
Switzerland,Europe,1997,79.37,7193761,32135.32301
Switzerland,Europe,2002,80.62,7361757,34480.95771
Switzerland,Europe,2007,81.701,7554661,37506.41907
Syria,Asia,1992,69.249,13219062,3340.542768
Syria,Asia,1997,71.527,15081016,4014.238972
Syria,Asia,2002,73.053,17155814,4090.925331
Syria,Asia,2007,74.143,19314747,4184.548089
Taiwan,Asia,1992,74.26,20686918,15215.6579
Taiwan,Asia,1997,75.25,21628605,20206.82098
Taiwan,Asia,2002,76.99,22454239,23235.42329
Taiwan,Asia,2007,78.4,23174294,28718.27684
Tanzania,Africa,1992,50.44,26605473,825.682454
Tanzania,Africa,1997,48.466,30686889,789.1862231
Tanzania,Africa,2002,49.651,34593779,899.0742111
Tanzania,Africa,2007,52.517,38139640,1107.482182
Thailand,Asia,1992,67.298,56667095,4616.896545
Thailand,Asia,1997,67.521,60216677,5852.625497
Thailand,Asia,2002,68.564,62806748,5913.187529
Thailand,Asia,2007,70.616,65068149,7458.396327
Togo,Africa,1992,58.061,3747553,1034.298904
Togo,Africa,1997,58.39,4320890,982.2869243
Togo,Africa,2002,57.561,4977378,886.2205765
Togo,Africa,2007,58.42,5701579,882.9699438
Trinidad and Tobago,Americas,1992,69.862,1183669,7370.990932
Trinidad and Tobago,Americas,1997,69.465,1138101,8792.573126
Trinidad and Tobago,Americas,2002,68.976,1101832,11460.60023
Trinidad and Tobago,Americas,2007,69.819,1056608,18008.50924
Tunisia,Africa,1992,70.001,8523077,4332.720164
Tunisia,Africa,1997,71.973,9231669,4876.798614
Tunisia,Africa,2002,73.042,9770575,5722.895655
